Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,175.58,-98.1,0.0,top
C10,4.7uF,C_0603,127.0,-88.85,180.0,top
C11,4.7uF,C_0603,127.0,-87.65,180.0,top
C12,4.7uF,C_0603,127.0,-86.45,180.0,top
C13,1uF,C_0603,127.0,-85.25,180.0,top
C14,4.7uF,C_0603,111.1,-78.82,-90.0,top
C15,4.7uF,C_0603,106.87,-74.75,0.0,top
C16,100nF,C_0603,179.3,-101.8,0.0,top
C17,100nF,C_0603,166.6,-98.1,0.0,top
C6,4.7uF,C_0603,127.0,-98.05,180.0,top
C7,4.7uF,C_0603,127.0,-92.45,180.0,top
C8,1uF,C_0603,127.0,-91.25,180.0,top
C9,4.7uF,C_0603,127.0,-90.05,180.0,top
D2,MBR0530,D_SOD-123,113.0,-79.75,90.0,top
D3,MBR0530,D_SOD-123,109.15,-79.8,-90.0,top
D4,MBR0530,D_SOD-123,106.7,-79.8,90.0,top
J3,E-Ink,FPC-SMD_AFC07-S24FCC-00,120.775,-94.25,-90.0,top
L1,CYL104R-47UH,IND-SMD_L10.5-W10.5,114.0,-70.8,0.0,top
Q1,AO3400A,Q_SOT-23,117.64,-80.225,90.0,top
R1,4.7kΩ,R_0603,166.7,-99.3,0.0,top
R10,4.7kΩ,R_0603,181.3,-102.5,90.0,top
R2,1kΩ,R_0603,175.48,-99.3,180.0,top
R5,2.2Ω,R_0603,120.1,-80.85,90.0,top
R6,1MΩ,R_0603,115.1,-80.8,-90.0,top
R9,4.7kΩ,R_0603,181.3,-97.1,-90.0,top
U1,BH1750FVI-TR,WSOF-6_L2.6-W1.6-P0.50-TL-EP,171.5,-98.6,0.0,top
U3,SHT4x,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,179.2,-99.9,-90.0,top
